,mainVariableName,sub0,sub1,sub2
862,2,9,6,7
863,2,9,1,0
864,5,1,0,1
865,5,2,3,4
866,5,6,1,2
867,1,4,4,9
868,1,9,8,9
869,1,9,0,8
870,2,2,3,1
871,2,4,4,0
872,2,9,7,5
873,5,6,4,6
874,5,4,6,6
875,5,9,8,7
876,5,8,9,3
877,5,8,9,3
878,5,8,9,2
879,5,1,7,2
880,5,6,0,8
881,5,0,2,3
882,4,4,6,5
883,4,5,4,0
884,4,1,6,1
885,2,4,1,5
886,2,9,8,3
887,2,9,0,5
888,2,4,1,9
889,2,0,7,9
890,2,4,5,3
891,1,1,3,2
892,1,3,8,10
893,1,3,0,2
894,5,8,4,1
895,5,7,0,4
896,5,8,6,3
897,0,6,1,0
898,0,8,0,3
899,0,8,4,3
900,2,7,3,6
901,2,4,9,6
902,2,6,9,6
903,5,8,3,6
904,5,2,3,2
905,5,8,7,7
906,5,8,0,6
907,5,8,9,6
908,5,6,6,3
909,5,8,0,3
910,5,8,3,0
911,5,6,2,4
912,3,7,9,4
913,3,8,1,3
914,3,1,9,1
915,2,1,9,0
916,2,9,1,2
917,2,2,7,0
918,0,3,3,0
919,0,1,0,0
920,0,0,0,0
921,5,4,9,6
922,5,4,1,8
923,5,3,3,1
924,0,7,5,3
925,0,9,3,3
926,0,5,0,0
927,0,8,8,2
928,0,3,6,0
929,0,7,3,3
930,1,7,10,4
931,1,5,7,0
932,1,1,3,0
933,1,2,8,0
934,1,6,9,4
935,1,9,4,4
936,1,7,9,9
937,1,1,4,6
938,1,8,9,2
939,3,3,2,4
940,3,1,2,3
941,3,3,0,4
942,1,7,4,4
943,1,1,10,10
944,1,6,3,8
945,3,7,6,9
946,3,5,0,6
947,3,0,6,1
948,5,4,6,8
949,5,2,1,9
950,5,5,3,9
951,1,4,1,8
952,1,0,10,7
953,1,10,2,3
954,3,7,2,3
955,3,2,2,5
956,3,5,6,3
957,3,1,2,6
958,3,3,8,3
959,3,1,1,7
960,0,6,7,8
961,0,8,0,0
962,0,3,3,8
963,3,8,2,3
964,3,8,7,0
965,3,3,1,0
966,4,3,1,6
967,4,5,7,6
968,4,6,7,5
969,5,5,7,6
970,5,4,3,4
971,5,1,3,9
972,5,7,3,1
973,5,4,5,7
974,5,6,1,1
975,2,4,3,6
976,2,9,9,7
977,2,0,9,0
978,1,7,4,7
979,1,1,7,3
980,1,10,3,10
981,0,2,1,8
982,0,4,5,3
983,0,0,8,6
984,0,8,8,0
985,0,0,0,0
986,0,0,7,8
987,5,4,6,4
988,5,8,9,6
989,5,4,4,7
990,3,3,6,9
991,3,7,1,4
992,3,3,2,3
993,1,3,8,5
994,1,7,6,0
995,1,4,1,4
996,3,2,0,7
997,3,1,5,3
998,3,1,4,2
999,1,9,6,9
1000,1,0,1,3
1001,1,2,4,3
1002,5,8,0,7
1003,5,8,3,1
1004,5,5,9,2
1005,5,2,3,7
1006,5,7,2,2
1007,5,5,8,3
1008,1,4,10,10
1009,1,3,4,4
1010,1,0,7,9
1011,3,1,2,6
1012,3,1,6,1
1013,3,9,9,3
1014,3,3,6,6
1015,3,0,0,3
1016,3,8,1,8
1017,3,8,3,4
1018,3,8,2,2
1019,3,5,9,1
1020,3,8,1,2
1021,3,0,1,0
1022,3,8,0,3
1023,1,8,6,3
1024,1,8,9,7
1025,1,8,8,0
1026,1,8,2,10
1027,1,9,8,7
1028,1,8,2,5
1029,1,7,1,5
1030,1,9,8,0
1031,1,0,2,9
1032,1,5,9,2
1033,1,3,4,7
1034,1,1,4,8
1035,4,6,7,0
1036,4,6,8,4
1037,4,6,8,4
1038,1,0,0,8
1039,1,7,2,7
1040,1,9,2,0
1041,3,0,1,4
1042,3,2,7,3
1043,3,3,0,4
1044,3,7,9,4
1045,3,1,9,5
1046,3,0,1,2
1047,0,8,3,0
1048,0,6,0,4
1049,0,4,0,8
1050,5,8,4,5
1051,5,6,8,8
1052,5,2,2,3
1053,0,8,7,2
1054,0,1,5,8
1055,0,0,4,8
1056,5,1,4,3
1057,5,1,4,1
1058,5,1,2,2
1059,4,4,6,6
1060,4,5,6,5
1061,4,0,5,0
1062,5,9,7,3
1063,5,6,4,2
1064,5,4,6,3
1065,3,5,8,8
1066,3,3,8,2
1067,3,3,6,1
1068,3,3,4,6
1069,3,0,3,2
1070,3,3,4,1
1071,1,0,3,5
1072,1,0,5,7
1073,1,0,10,6
1074,0,5,0,7
1075,0,0,7,7
1076,0,0,8,8
1077,3,3,9,4
